tree,operation,pattern,n,time,splits,merges,comparisons,node_accesses,height,fill_factor
BTree,insert,random,1000,0.001000,424,0,9344,5290,6,58.14
BTree,search,random,1000,-0.000000,0,0,9967,5572,6,58.14
BTree,delete,random,1000,-0.000000,0,424,10442,4574,6,58.14
BPlusTree,insert,random,1000,-0.000000,512,0,9675,5587,7,64.88
BPlusTree,search,random,1000,0.001000,0,0,11075,7000,7,64.88
BPlusTree,range_query,random,1000,0.000000,0,0,18,3,7,64.88
BTree,insert,sorted,1000,-0.000000,492,0,5929,5442,6,50.20
BTree,search,sorted,1000,-0.000000,0,0,9698,5508,6,50.20
BTree,delete,sorted,1000,-0.000000,0,492,5085,5085,6,50.20
BPlusTree,insert,sorted,1000,-0.000000,740,0,6614,5881,7,50.13
BPlusTree,search,sorted,1000,-0.000000,0,0,10938,7000,7,50.13
BPlusTree,range_query,sorted,1000,0.000000,0,0,111,51,7,50.13
BTree,insert,reverse,1000,-0.000000,976,0,18820,7449,9,25.38
BTree,search,reverse,1000,-0.000000,0,0,9226,8024,9,25.38
BTree,delete,reverse,1000,-0.000000,0,976,22345,6719,9,25.38
BPlusTree,insert,reverse,1000,-0.000000,976,0,18820,7450,9,38.02
BPlusTree,search,reverse,1000,-0.000000,0,0,10712,9000,9,38.02
BPlusTree,range_query,reverse,1000,0.000000,0,0,112,52,9,38.02
BTree,insert,random,5000,-0.000000,2096,0,59568,34043,8,59.41
BTree,search,random,5000,0.001000,0,0,60734,37608,8,59.41
BTree,delete,random,5000,-0.000000,0,2096,66427,28109,8,59.41
BPlusTree,insert,random,5000,0.002000,2517,0,61328,35056,8,66.53
BPlusTree,search,random,5000,-0.000000,0,0,69019,40000,8,66.53
BPlusTree,range_query,random,5000,0.000000,0,0,103,32,8,66.53
BTree,insert,sorted,5000,0.000000,2492,0,37541,35056,8,50.00
BTree,search,sorted,5000,0.000000,0,0,59762,37508,8,50.00
BTree,delete,sorted,5000,0.000000,0,2492,32527,32527,8,50.00
BPlusTree,insert,sorted,5000,0.001000,3740,0,40418,36686,8,50.01
BPlusTree,search,sorted,5000,-0.000000,0,0,67678,40000,8,50.01
BPlusTree,range_query,sorted,5000,0.000000,0,0,514,251,8,50.01
BTree,insert,reverse,5000,0.000000,4971,0,123307,48826,11,25.09
BTree,search,reverse,5000,0.001000,0,0,56828,50029,11,25.09
BTree,delete,reverse,5000,-0.000000,0,4971,152246,44791,11,25.09
BPlusTree,insert,reverse,5000,0.001000,4971,0,123307,48827,11,37.63
BPlusTree,search,reverse,5000,0.000000,0,0,64312,55000,11,37.63
BPlusTree,range_query,reverse,5000,0.000000,0,0,515,252,11,37.63
BTree,insert,random,10000,0.001000,4229,0,130071,74641,8,59.00
BTree,search,random,10000,0.001000,0,0,134096,74438,8,59.00
BTree,delete,random,10000,0.001000,0,4229,144173,62485,8,59.00
BPlusTree,insert,random,10000,0.003000,5069,0,134037,76296,9,66.24
BPlusTree,search,random,10000,-0.000000,0,0,144743,90000,9,66.24
BPlusTree,range_query,random,10000,0.000000,0,0,317,108,9,66.24
BTree,insert,sorted,10000,-0.000000,4991,0,80190,75207,9,50.00
BTree,search,sorted,10000,-0.000000,0,0,129990,85009,9,50.00
BTree,delete,sorted,10000,-0.000000,0,4991,72935,72935,9,50.00
BPlusTree,insert,sorted,10000,-0.000000,7489,0,87596,80116,9,50.01
BPlusTree,search,sorted,10000,0.004000,0,0,144494,90000,9,50.01
BPlusTree,range_query,sorted,10000,0.000000,0,0,1012,501,9,50.01
BTree,insert,reverse,10000,-0.000000,9968,0,271701,107673,12,25.05
BTree,search,reverse,10000,0.003000,0,0,123637,110032,12,25.05
BTree,delete,reverse,10000,0.000000,0,9968,339220,99500,12,25.05
BPlusTree,insert,reverse,10000,0.003000,9968,0,271701,107674,12,37.57
BPlusTree,search,reverse,10000,0.001000,0,0,138620,120000,12,37.57
BPlusTree,range_query,reverse,10000,0.000000,0,0,1016,502,12,37.57
BTree,insert,random,50000,0.009000,21174,0,772857,449083,10,59.01
BTree,search,random,50000,-0.000000,0,0,744282,449421,10,59.01
BTree,delete,random,50000,0.018000,0,21174,852859,366534,10,59.01
BPlusTree,insert,random,50000,0.013000,25349,0,789829,458005,10,66.25
BPlusTree,search,random,50000,0.008000,0,0,830069,500000,10,66.25
BPlusTree,range_query,random,50000,0.000000,0,0,7705,2641,10,66.25
BTree,insert,sorted,50000,0.009000,24991,0,480656,455674,10,50.00
BTree,search,sorted,50000,0.000000,0,0,770078,475009,10,50.00
BTree,delete,sorted,50000,0.005000,0,24991,438458,438458,10,50.00
BPlusTree,insert,sorted,50000,0.008000,37488,0,507901,470423,10,50.00
BPlusTree,search,sorted,50000,0.004000,0,0,850146,500000,10,50.00
BPlusTree,range_query,sorted,50000,0.000000,0,0,5016,2501,10,50.00
BTree,insert,reverse,50000,0.012000,49963,0,1651243,651624,15,25.01
BTree,search,reverse,50000,0.011000,0,0,735336,700037,15,25.01
BTree,delete,reverse,50000,0.029000,0,49963,2109368,615127,15,25.01
BPlusTree,insert,reverse,50000,0.014000,49963,0,1651243,651625,15,37.52
BPlusTree,search,reverse,50000,0.002000,0,0,810316,750000,15,37.52
BPlusTree,range_query,reverse,50000,0.000000,0,0,5018,2502,15,37.52
BTree,insert,random,100000,0.027000,42107,0,1656035,959726,11,59.36
BTree,search,random,100000,0.018000,0,0,1509950,957263,11,59.36
BTree,delete,random,100000,0.027000,0,42107,1807638,774073,11,59.36
BPlusTree,insert,random,100000,0.024000,50327,0,1671949,977256,11,66.63
BPlusTree,search,random,100000,0.015000,0,0,1751946,1100000,11,66.63
BPlusTree,range_query,random,100000,0.000000,0,0,18225,6227,11,66.63
BTree,insert,sorted,100000,0.007000,49990,0,1017071,967091,11,50.00
BTree,search,sorted,100000,0.005000,0,0,1643446,1050010,11,50.00
BTree,delete,sorted,100000,0.009000,0,49990,926146,926146,11,50.00
BPlusTree,insert,sorted,100000,0.014000,74988,0,1086340,1011363,11,50.00
BPlusTree,search,sorted,100000,0.008000,0,0,1790122,1100000,11,50.00
BPlusTree,range_query,sorted,100000,0.000000,0,0,10018,5001,11,50.00
BTree,insert,reverse,100000,0.040000,99960,0,3552649,1403307,16,25.01
BTree,search,reverse,100000,0.010000,0,0,1570649,1500040,16,25.01
BTree,delete,reverse,100000,0.015000,0,99960,4568331,1330120,16,25.01
BPlusTree,insert,reverse,100000,0.014000,99960,0,3552649,1403308,16,37.51
BPlusTree,search,reverse,100000,0.007000,0,0,1720628,1600000,16,37.51
BPlusTree,range_query,reverse,100000,0.000000,0,0,10019,5002,16,37.51
